number,value,datetime_start,datetime_complete,duration,params_batch_size,params_embedding_dim,params_image_size,params_learning_rate,params_scheduler_gamma,params_triplet_margin,params_weight_decay,state
0,0.5472727272727272,2025-12-17 00:20:53.094168,2025-12-17 02:16:29.944901,0 days 01:55:36.850733,64,64,224,0.009295153204984237,0.3031896072234275,1.9484381330709102,0.00010033748994148645,COMPLETE
1,0.5595454545454546,2025-12-17 02:16:29.956685,2025-12-17 04:13:06.601319,0 days 01:56:36.644634,64,64,224,0.0002516577865871379,0.6219437133404957,0.8943980627442218,0.00029632733983819056,COMPLETE
2,0.5222727272727272,2025-12-17 04:13:06.604351,2025-12-17 06:29:55.211539,0 days 02:16:48.607188,32,256,224,0.00020953269097613296,0.4917119363938883,1.2567841548057959,0.0008350059152845782,COMPLETE
3,0.5640909090909091,2025-12-17 06:29:55.214929,2025-12-17 07:00:47.039987,0 days 00:30:51.825058,64,64,128,0.0005461343302927956,0.5688724506538452,1.8276062245195668,0.0005856123455367,COMPLETE
4,0.49772727272727274,2025-12-17 07:00:47.042442,2025-12-17 08:57:17.470936,0 days 01:56:30.428494,64,64,224,0.003081506065992397,0.547482040805115,1.0375084829619647,1.5390738181066407e-05,COMPLETE
5,0.505,2025-12-17 08:57:17.473432,2025-12-17 09:00:24.696644,0 days 00:03:07.223212,64,64,128,0.00040110447156123505,0.3516226113294743,1.3755803388246586,2.071003723772502e-05,PRUNED
6,0.5590909090909091,2025-12-17 09:00:24.699072,2025-12-17 09:31:09.531409,0 days 00:30:44.832337,64,64,128,0.0007160301851002626,0.5180685490195862,0.8442864589661976,0.0001256348105615862,COMPLETE
7,0.5272727272727272,2025-12-17 09:31:09.533971,2025-12-17 10:01:00.112738,0 days 00:29:50.578767,16,64,224,0.00014678353926647703,0.32160461156319015,1.6685198767997313,2.882308389444976e-05,PRUNED
8,0.5445454545454546,2025-12-17 10:01:00.115256,2025-12-17 10:32:03.944780,0 days 00:31:03.829524,64,128,128,0.000618662818720511,0.5557261696348426,1.7688420525264572,0.0001384088045712137,COMPLETE
9,0.5940909090909091,2025-12-17 10:32:03.947689,2025-12-17 12:48:44.895191,0 days 02:16:40.947502,32,256,224,0.0008965234422965838,0.5251593598666809,0.5030786228820638,0.0001398694100226318,COMPLETE
10,0.5331818181818182,2025-12-17 12:48:44.897600,2025-12-17 15:09:54.009502,0 days 02:21:09.111902,32,256,224,0.0016331251036552823,0.42715741825604625,1.4456986205157034,4.513776143568445e-05,COMPLETE
11,0.5236363636363637,2025-12-17 15:09:54.012261,2025-12-17 17:25:12.391319,0 days 02:15:18.379058,32,256,224,0.0017341381851387276,0.6900289123997131,0.6510957243458622,0.0008733709172702004,COMPLETE
12,0.5345454545454545,2025-12-17 17:25:12.397530,2025-12-17 17:39:49.035740,0 days 00:14:36.638210,16,128,224,0.001225381737353053,0.6073195058045937,0.5454889272319167,0.0003224631986589779,PRUNED
13,0.5,2025-12-17 17:39:49.038510,2025-12-17 17:53:53.424125,0 days 00:14:04.385615,32,256,224,0.003068694837450241,0.4526476060684913,1.5809976865869186,0.00033248688437091586,PRUNED
14,0.5645454545454546,2025-12-17 17:53:53.426888,2025-12-17 20:08:58.004000,0 days 02:15:04.577112,32,256,224,0.00044911330973052026,0.6080689924735606,1.998394950372689,6.794363585557526e-05,COMPLETE
15,0.5454545454545454,2025-12-17 20:08:58.006566,2025-12-17 20:22:25.459216,0 days 00:13:27.452650,32,256,224,0.0003251949624546468,0.695205593101196,1.9943356928288942,5.047357699242906e-05,PRUNED
16,0.5222727272727272,2025-12-17 20:22:25.461573,2025-12-17 20:35:50.647462,0 days 00:13:25.185889,32,256,224,0.00013314120962041877,0.6327165041157121,1.0694990335298011,5.392733404333326e-05,PRUNED
17,0.5986363636363636,2025-12-17 20:35:50.649708,2025-12-17 22:52:12.910168,0 days 02:16:22.260460,32,256,224,0.0009727620885598844,0.39529663804858883,0.6835659364927866,0.00017682347633830915,COMPLETE
18,0.5277272727272727,2025-12-17 22:52:12.912651,2025-12-17 23:05:39.200785,0 days 00:13:26.288134,32,256,224,0.0032396330007630953,0.37747059948112205,0.7071021862899464,0.00020543428364821863,PRUNED
19,0.5209090909090909,2025-12-17 23:05:39.203065,2025-12-18 01:50:06.696804,0 days 02:44:27.493739,16,128,224,0.001020228132664852,0.4119950015490068,0.625961969244224,0.00016032730203835384,COMPLETE
